Name,Code
Abilene,115930
Akron,217074
Albany,93994
Albuquerque,448607
Alexandria,128283
Allentown,106632
Amarillo,173627
Anaheim,328014
Anchorage,260283
Ann Arbor,114024
Arden-Arcade,92040
Arlington,332969
Arlington,174838
Arvada,102153
Athens-Clarke County,101489
Atlanta,416474
Augusta-Richmond County,199775
Aurora,276393
Aurora,142990
Austin,656562
Bakersfield,247057
Baltimore,651154
Baton Rouge,227818
Beaumont,113866
Bellevue,109569
Berkeley,102743
Billings,92988
Birmingham,242820
Boise City,185787
Boston,589141
Boulder,91238
Bridgeport,139529
Brockton,93653
Brownsville,139722
Buffalo,292648
Burbank,100316
Cambridge,101355
Cape Coral,102286
Carrollton,109576
Carson,89089
Cary,91213
Cedar Rapids,120758
Chandler,176581
Charleston,89063
Charlotte,540828
Chattanooga,155554
Chesapeake,199184
Chicago,2896016
Chula Vista,173556
Cincinnati,331285
Citrus Heights,103455
Clarksville,108787
Clearwater,99936
Cleveland,478403
Colorado Springs,360890
Columbia,116278
Columbus,711470
Columbus,186291
Compton,92864
Concord,121780
Coral Springs,117549
Corona,124966
Corpus Christi,277454
Costa Mesa,108724
Dallas,1188580
Daly City,103621
Davenport,98256
Dayton,166179
Denver,554636
Des Moines,198682
Detroit,951270
Downey,107323
Durham,187035
East Los Angeles,126379
El Cajon,94578
El Monte,115965
El Paso,563662
Elgin,89408
Elizabeth,120568
Erie,103717
Escondido,133559
Eugene,137893
Evansville,121582
Fairfield,92256
Fall River,90555
Fayetteville,121015
Flint,124943
Fontana,128929
Fort Collins,118652
Fort Lauderdale,152397
Fort Wayne,205727
Fort Worth,534694
Fremont,203413
Fresno,427652
Fullerton,126003
Gainesville,92291
Garden Grove,165196
Garland,215768
Gary,102746
Gilbert,109697
Glendale,218812
Glendale,194973
Grand Prairie,127427
Grand Rapids,197800
Green Bay,102313
Greensboro,223891
Hampton,146437
Hartford,121578
Hayward,140030
Henderson,175381
Hialeah,226419
Hollywood,139357
Honolulu,371657
Houston,1953631
Huntington Beach,189594
Huntsville,158216
Independence,113288
Indianapolis,791926
Inglewood,112580
